chinese,frequency,pinyin,posseg
硅酸鹽,190,gui1-suan1-yan2,nz
光大起來,3,guang1-da4-qi3-lai2,l
國代選舉,3,guo2-dai4-xuan3-ju3,l
郭鳳蓮,257,guo1-feng4-lian2,nr
谷中眾,2,gu3-zhong1-zhong4,nr
割稻,3,ge1-dao4,n
國政,252,guo2-zheng4,n
國資局,4,guo2-zi1-ju2,nt
鋼鼓,8,gang1-gu3,n
甘瓜苦蒂,3,gan1-gua1-ku3-di4,nr
關斷,3,guan1-duan4,v
官費生,5,guan1-fei4-sheng1,n
格拉斯曼,13,ge2-la1-si1-man4,nrt
管教好,3,guan3-jiao4-hao3,l
公平正義,3,gong1-ping2-zheng4-yi4,n
滾熱,32,gun3-re4,z
過敏源,3,guo4-min3-yuan2,n
裹足不前,20,guo3-zu2-bu4-qian2,i
鋼鐵,2610,gang1-tie3,n
甘菜,3,gan1-cai4,n
膈,82,ge2,n
廣井王子,3,guang3-jing3-wang2-zi3,nr
概觀,14,gai4-guan1,n
革圖易慮,3,ge2-tu2-yi4-lv4,n
蓋增臣,5,gai4-zeng1-chen2,nr
高級會議,3,gao1-ji2-hui4-yi4,n
廣告語,14,guang3-gao4-yu3,nz
敢嚇,3,gan3-xia4,v
梗阻,115,geng3-zu3,v
歌仔,13,ge1-zai3,n
高老者,3,gao1-lao3-zhe3,nr
高雄中學,3,gao1-xiong2-zhong1-xue2,l
高自位置,3,gao1-zi4-wei4-zhi4,n
功名,248,gong1-ming2,n
鬼馬,3,gui3-ma3,n
缸房,3,gang1-fang2,n
廣興,8,guang3-xing4,ns
戈雷島,8,ge1-lei2-dao3,nr
丐,899,gai4,g
鋼筋,573,gang1-jin1,n
關勝勒,2,guan1-sheng4-lei1,nr
幹將莫邪,3,gan4-jiang1-mo4-xie2,nr
管事,332,guan3-shi4,n
谷口,135,gu3-kou3,n
光武帝,61,guang1-wu3-di4,nr
格拉,68,ge2-la1,nrt
革委會,153,ge2-wei3-hui4,j
國一生,3,guo2-yi1-sheng1,nr
弓弦,79,gong1-xian2,nr
菇,123,gu1,ng
癸酉,7,gui3-you3,m
公國,222,gong1-guo2,n
掛牌案件,3,gua4-pai2-an4-jian4,n
功到自然成,10,gong1-dao4-zi4-ran2-cheng2,i
感應,511,gan3-ying1,v
鼓舌搖簧,3,gu3-she2-yao2-huang2,i
蓋嘉運,2,gai4-jia1-yun4,nr
國旅,177,guo2-lv3,j
工課,12,gong1-ke4,n
共為,3,gong4-wei4,d
公舉之,2,gong1-ju3-zhi1,nr
果汁機,2,guo3-zhi1-ji1,n
古昔,18,gu3-xi1,t
甘拜下風,62,gan1-bai4-xia4-feng1,ns
更豉,3,geng4-shi4,n
高標準,52,gao1-biao1-zhun3,n
過渡期,34,guo4-du4-qi1,n
官川,2,guan1-chuan1,n
