chinese,frequency,pinyin,posseg
揭陽縣,5,jie1-yang2-xian4,ns
蔣翊武,11,jiang3-yi4-wu3,nr
緝拿歸案,3,ji1-na2-gui1-an4,n
浸厚,3,jin4-hou4,v
金鉤,10,jin1-gou1,nz
金閨玉堂,3,jin1-gui1-yu4-tang2,i
九萬七千三百二十四匹,2,jiu3-wan4-qi1-qian1-san1-bai3-er4-shi2-si4-pi3,m
接口類型,4,jie1-kou3-lei4-xing2,n
記錄稿,3,ji4-lu4-gao3,n
急奏,3,ji2-zou4,n
撿拾,46,jian3-shi2,v
急劇,834,ji2-ju4,d
解珍解,4,jie3-zhen1-jie3,nr
江天一色,3,jiang1-tian1-yi1-se4,i
靖國神社,75,jing4-guo2-shen2-she4,nr
晉公子,2,jin4-gong1-zi,nr
進見,51,jin4-jian4,v
錦匣,3,jin3-xia2,ns
結業式,3,jie2-ye4-shi4,n
鶺鴒在原,3,ji2-ling2-zai4-yuan2,v
九大行星,3,jiu3-da4-hang2-xing1,nz
掘坑,3,jue2-keng1,v
警報聲,40,jing3-bao4-sheng1,n
激情網,3,ji1-qing2-wang3,n
狡黠,89,jiao3-xia2,a
近因,38,jin4-yin1,n
嘉言善狀,3,jia1-yan2-shan4-zhuang4,nr
軍法從事,29,jun1-fa3-cong2-shi4,l
幾萬家,2,ji3-wan4-jia1,m
加飯酒,7,jia1-fan4-jiu3,n
金沙江流域,6,jin1-sha1-jiang1-liu2-yu4,ns
交叉賽,4,jiao1-cha1-sai4,n
緊膚水,2,jin3-fu1-shui3,n
敬服,46,jing4-fu2,v
捷書,3,jie2-shu1,nz
嬌豔動人,3,jiao1-yan4-dong4-ren2,i
急急慌慌,3,ji2-ji2-huang1-huang1,z
姣麗,3,jiao1-li4,z
矯若遊龍,3,jiao3-ruo4-you2-long2,nr
堅守自盜,3,jian1-shou3-zi4-dao4,i
賈德致,3,jia3-de2-zhi4,nr
接口處,3,jie1-kou3-chu4,i
金屋貯嬌,3,jin1-wu1-zhu4-jiao1,n
見神見鬼,5,jian4-shen2-jian4-gui3,i
機不容發,3,ji1-bu4-rong2-fa1,l
漿果,155,jiang1-guo3,n
幾千,403,ji3-qian1,m
吉星文,2,ji2-xing1-wen2,nr
甲第,6,jia3-di4,nz
九龍山,15,jiu3-long2-shan1,ns
經濟論文,3,jing1-ji4-lun4-wen2,n
絕不允許,3,jue2-bu4-yun3-xu3,i
就診,211,jiu4-zhen3,v
肌調蛋白,3,ji1-diao4-dan4-bai2,n
九堂,4,jiu3-tang2,ns
解壓密碼,3,jie3-ya1-mi4-ma3,n
濟世安人,3,ji4-shi4-an1-ren2,nz
京韻,9,jing1-yun4,n
驚覺到,3,jing1-jue2-dao4,l
假名牌,3,jia3-ming2-pai2,n
倔勁,3,jue2-jin4,a
居留,205,ju1-liu2,v
江達縣,4,jiang1-da2-xian4,ns
借來借去,3,jie4-lai2-jie4-qu4,l
結尾處,18,jie2-wei3-chu4,n
解出來,3,jie3-chu1-lai2,v
膠態凝膠,3,jiao1-tai4-ning2-jiao1,n
集會遊行,3,ji2-hui4-you2-xing2,n
爵王,3,jue2-wang2,n
見上圖,3,jian4-shang4-tu2,v
健,1514,jian4,a
景帝遂,2,jing3-di4-sui4,nr
建管局,3,jian4-guan3-ju2,nt
肩部,89,jian1-bu4,n
金知雲,3,jin1-zhi1-yun2,nt
機用戶,2,ji1-yong4-hu4,n
金之策,2,jin1-zhi1-ce4,nr
警亭,3,jing3-ting2,n
蕉,243,jiao1,zg
近百年來,3,jin4-bai3-nian2-lai2,l
近兩天,3,jin4-liang3-tian1,l
酒精依賴,3,jiu3-jing1-yi1-lai4,i
諫諍,18,jian4-zheng4,v
江鳳儀,3,jiang1-feng4-yi2,nr
建瓴高屋,3,jian4-ling2-gao1-wu1,v
艱苦備嚐,3,jian1-ku3-bei4-chang2,i
借位,3,jie4-wei4,n
經世文,9,jing1-shi4-wen2,nr
謹領,3,jin3-ling3,v
金遼朝,2,jin1-liao2-chao2,nr
躋身,487,ji1-shen1,v
獎章,465,jiang3-zhang1,n
既定目標,3,ji4-ding4-mu4-biao1,n
甲基丙烯酸甲酯,20,jia3-ji1-bing3-xi1-suan1-jia3-zhi3,nz
紀實性,7,ji4-shi2-xing4,n
極板,37,ji2-ban3,n
結,3761,jie2,n
金禎,3,jin1-zhen1,nrt
截面,167,jie2-mian4,v
驚呼其名,3,jing1-hu1-qi2-ming2,i
井法,3,jing3-fa3,n
雞心,13,ji1-xin1,n
疾如雷電,3,ji2-ru2-lei2-dian4,n
交口,17,jiao1-kou3,n
經驗總結,3,jing1-yan4-zong3-jie2,n
金剛眼睛,3,jin1-gang1-yan3-jing1,n
賈登嶼,3,jia3-deng1-yu3,nr
降暑,3,jiang4-shu3,v
雞蛋殼,7,ji1-dan4-ke2,n
決意,472,jue2-yi4,v
截開,3,jie2-kai1,v
教科文組織,4,jiao4-ke1-wen2-zu3-zhi1,nt
幾月份,3,ji3-yue4-fen4,mq
