chinese,frequency,pinyin,posseg
巴爾赫,8,ba1-er3-he4,nr
暴客,5,bao4-ke4,n
閉門自守,3,bi4-men2-zi4-shou3,i
不在此列,3,bu4-zai4-ci3-lie4,l
別收,3,bie2-shou1,v
卜國可,2,bo-guo2-ke3,nr
必居其一,3,bi4-ju1-qi2-yi1,i
寶林,7,bao3-lin2,nr
被迫,2348,bei4-po4,d
病毒靈,3,bing4-du2-ling2,n
必賞,3,bi4-shang3,v
巴塘,17,ba1-tang2,ns
暴雨徑流,3,bao4-yu3-jing4-liu2,i
鮑伊諾克,3,bao4-yi1-nuo4-ke4,nrt
不能變更,3,bu4-neng2-bian4-geng4,i
悲哭,3,bei1-ku1,v
冰舌,30,bing1-she2,n
北京旅遊局,13,bei3-jing1-lv3-you2-ju2,nt
伯比奇,4,bo2-bi3-qi2,nr
表率,179,biao3-shuai4,n
波耶娃,2,bo1-ye2-wa2,nr
丙烯醛,3,bing3-xi1-quan2,nz
百文,4,bai3-wen2,nz
八十一名,2,ba1-shi2-yi1-ming2,m
不能逃避,3,bu4-neng2-tao2-bi4,i
北京市政協,264,bei3-jing1-shi4-zheng4-xie2,nt
褒義詞,11,bao1-yi4-ci2,i
北面稱臣,3,bei3-mian4-cheng1-chen2,n
寶音,4,bao3-yin1,n
百千米,14,bai3-qian1-mi3,m
斃命,285,bi4-ming4,v
百一,6,bai3-yi1,m
必由之路,76,bi4-you2-zhi1-lu4,l
兵操,10,bing1-cao1,n
背德,3,bei4-de2,n
布朗運動,34,bu4-lang3-yun4-dong4,nz
波爾原子,3,bo1-er3-yuan2-zi,ns
被竊,11,bei4-qie4,v
飆,22,biao1,zg
巴魯迪,5,ba1-lu3-di2,nr
賓士車,3,bin1-shi4-che1,nr
胞質運動,3,bao1-zhi4-yun4-dong4,n
拜將封侯,3,bai4-jiang1-feng1-hou2,nr
白影微,2,bai2-ying3-wei1,nr
不法之徒,15,bu4-fa3-zhi1-tu2,i
孢子異型,3,bao1-zi-yi4-xing2,n
薄父母,3,bao2-fu4-mu3,nr
不法行為,3,bu4-fa3-xing2-wei4,l
補強,10,bu3-qiang2,v
邊兵,10,bian1-bing1,n
標記原子,3,biao1-ji4-yuan2-zi,n
迸流,3,beng4-liu2,v
白如銀,2,bai2-ru2-yin2,nr
冰庫,23,bing1-ku4,n
斑枯病,2,ban1-ku1-bing4,n
白皮松,15,bai2-pi2-song1,nr
並存,348,bing4-cun2,v
別具隻眼,3,bie2-ju4-zhi1-yan3,i
半枝,3,ban4-zhi1,m
白洋,269,bai2-yang2,ns
鼻膜,5,bi2-mo2,n
薜蘿,3,bi4-luo2,n
變旋,3,bian4-xuan2,vn
北京機票,3,bei3-jing1-ji1-piao4,n
佈雷隊,3,bu4-lei2-dui4,nr
別克君,4,bie2-ke4-jun1,nr
百頭,265,bai3-tou2,n
琣,3,beng3,zg
貝加爾,34,bei4-jia1-er3,nr
避讓,130,bi4-rang4,v
剝奪走,3,bo1-duo2-zou3,n
包裝盒,22,bao1-zhuang1-he2,n
巴伐利亞州,26,ba1-fa2-li4-ya4-zhou1,ns
被減數,3,bei4-jian3-shu4,n
布蘇泡,2,bu4-su1-pao4,nr
博爾赫斯,13,bo2-er3-he4-si1,nrt
併購額,3,bing4-gou4-e2,n
布魯克林,25,bu4-lu3-ke4-lin2,nr
巴多明,2,ba1-duo1-ming2,nr
不知其可,4,bu4-zhi1-qi2-ke3,i
摒棄前嫌,2,bing3-qi4-qian2-xian2,l
彪炳,15,biao1-bing3,v
八百八味,4,ba1-bai3-ba1-wei4,m
半堵,9,ban4-du3,m
玻璃粉,3,bo1-li-fen3,n
布坎南,15,bu4-kan3-nan2,nr
避謠,3,bi4-yao2,v
蔽塞,3,bi4-se4,v
薄殼,4,bao2-ke2,n
貝可勒爾,23,bei4-ke3-lei1-er3,nr
八十次,5,ba1-shi2-ci4,m
冰面,84,bing1-mian4,n
補貼額,3,bu3-tie1-e2,n
北京廣播電視大學,2,bei3-jing1-guang3-bo1-dian4-shi4-da4-xue2,nt
勃朗寧,14,bo2-lang3-ning2,nr
被動免疫,9,bei4-dong4-mian3-yi4,l
白大弟,4,bai2-da4-di4,nr
保全,970,bao3-quan2,v
備述,3,bei4-shu4,v
半間半界,3,ban4-jian1-ban4-jie4,n
玻璃狀,3,bo1-li-zhuang4,n
白頭鳥,3,bai2-tou2-niao3,n
胞壁質,3,bao1-bi4-zhi4,n
疤瘌眼兒,3,ba1-la4-yan3-er2,n
必選課程,3,bi4-xuan3-ke4-cheng2,n
棒球賽,3,bang4-qiu2-sai4,n
八九丈,9,ba1-jiu3-zhang4,m
北京地鐵,3,bei3-jing1-de-tie3,ns
不計後果,3,bu4-ji4-hou4-guo3,i
布爾吉巴,3,bu4-er3-ji2-ba1,nrt
巴激進,3,ba1-ji1-jin4,nr
不少篇,3,bu4-shao3-pian1,m
補錄,28,bu3-lu4,v
保定路,2,bao3-ding4-lu4,n
鄙夫,37,bi3-fu1,n
表演家,5,biao3-yan3-jia1,n
百分之八點,14,bai3-fen1-zhi1-ba1-dian3,m
必有近憂,8,bi4-you3-jin4-you1,l
悲觀厭世,3,bei1-guan1-yan4-shi4,i
包兆龍,2,bao1-zhao4-long2,nr
巴楚縣,3,ba1-chu3-xian4,ns
畢比,52,bi4-bi3,v
苯妥英鈉,3,ben3-tuo3-ying1-na4,nz
本期損益,3,ben3-qi1-sun3-yi4,n
邊緣增強,3,bian1-yuan2-zeng1-qiang2,nr
不好比,3,bu4-hao3-bi3,z
比利亞雷,54,bi3-li4-ya4-lei2,nrt
巴里島,3,ba1-li3-dao3,ns
擺架子,8,bai3-jia4-zi,n
本城,34,ben3-cheng2,r
霸權,378,ba4-quan2,n
北京師範大學物理系,2,bei3-jing1-shi1-fan4-da4-xue2-wu4-li3-xi4,nt
白水晶,3,bai2-shui3-jing1,nr
不露圭角,3,bu4-lu4-gui1-jiao3,i
布特列,2,bu4-te4-lie4,nr
避讓賢路,3,bi4-rang4-xian2-lu4,l
標出,77,biao1-chu1,v
病毒檢測,4,bing4-du2-jian3-ce4,n
別藻藍素,3,bie2-zao3-lan2-su4,n
不辨真偽,3,bu4-bian4-zhen1-wei3,n
北京吉普,3,bei3-jing1-ji2-pu3,ns
巴黎政治學院,2,ba1-li2-zheng4-zhi4-xue2-yuan4,nt
閉路,13,bi4-lu4,n
辨日炎涼,3,bian4-ri4-yan2-liang2,n
邦加,23,bang1-jia1,nrt
巴基斯坦人民黨,6,ba1-ji1-si1-tan3-ren2-min2-dang3,nt
波蘇瓦柳克,4,bo1-su1-wa3-liu3-ke4,ns
背書,103,bei4-shu1,n
補給港,3,bu3-gei3-gang3,n
兵團農二師,2,bing1-tuan2-nong2-er4-shi1,nt
便捷,503,bian4-jie2,a
半空中,3,ban4-kong1-zhong1,l
頒獎典禮,3,ban1-jiang3-dian3-li3,n
不虛,3,bu4-xu1,a
百餘所,6,bai3-yu2-suo3,m
遍及,815,bian4-ji2,v
北宗掌,3,bei3-zong1-zhang3,nr
閉關自首,3,bi4-guan1-zi4-shou3,i
敗壞,396,bai4-huai4,v
八層樓,3,ba1-ceng2-lou2,n
白璧無瑕,2,bai2-bi4-wu2-xia2,i
半徑,633,ban4-jing4,n
褒顯,3,bao1-xian3,v
北京婦產醫院,6,bei3-jing1-fu4-chan3-yi1-yuan4,nt
白眼相看,3,bai2-yan3-xiang1-kan4,i
報體,3,bao4-ti3,n
布埃爾,3,bu4-ai1-er3,nr
保修包換,3,bao3-xiu1-bao1-huan4,nr
不可諱言,3,bu4-ke3-hui4-yan2,i
薄利,7,bo2-li4,a
伴熱輸送,3,ban4-re4-shu1-song4,n
變影,3,bian4-ying3,n
保險局,4,bao3-xian3-ju2,n
白菜心,13,bai2-cai4-xin1,n
暴死,2,bao4-si3,v
背後,1124,bei4-hou4,f
表型,38,biao3-xing2,n
百盛,5,bai3-sheng4,nz
百世,30,bai3-shi4,n
賓夕法尼亞,37,bin1-xi1-fa3-ni2-ya4,ns
不容分辯,3,bu4-rong2-fen1-bian4,l
不及物,3,bu4-ji2-wu4,l
剝脫,3,bo1-tuo1,v
八級,159,ba1-ji2,n
報冤雪恨,3,bao4-yuan1-xue3-hen4,i
捕鼠,14,bu3-shu3,n
拜倒石榴,3,bai4-dao3-shi2-liu2,n
爆炸點,7,bao4-zha4-dian3,n
百成,2,bai3-cheng2,m
布拉,145,bu4-la1,nrt
扁率,11,bian3-lv4,n
板本,3,ban3-ben3,n
壩體,59,ba4-ti3,n
辦貨,8,ban4-huo4,n
倍受尊敬,3,bei4-shou4-zun1-jing4,nr
博爾塔拉,3,bo2-er3-ta3-la1,nrt
菠菜,178,bo1-cai4,n
補牙,12,bu3-ya2,v
表面工程,3,biao3-mian4-gong1-cheng2,n
貝蒂尼,3,bei4-di4-ni2,nr
揹包帶,4,bei1-bao1-dai4,n
波利尼西亞,97,bo1-li4-ni2-xi1-ya4,ns
別作一眼,3,bie2-zuo4-yi1-yan3,l
寶珍齋,2,bao3-zhen1-zhai1,nr
斃而後已,3,bi4-er2-hou4-yi3,v
兵役節,3,bing1-yi4-jie2,n
百左右,2,bai3-zuo3-you4,m
別具心腸,3,bie2-ju4-xin1-chang2,i
病理性,82,bing4-li3-xing4,n
表演,3088,biao3-yan3,v
拔樹搜根,3,ba2-shu4-sou1-gen1,vn
閉起,3,bi4-qi3,v
薄甲藻,5,bao2-jia3-zao3,nr
白雲石,99,bai2-yun2-shi2,nr
並疆兼巷,3,bing4-jiang1-jian1-xiang4,i
搬掉,3,ban1-diao4,v
避其銳氣,5,bi4-qi2-rui4-qi4,v
寶蓮燈,14,bao3-lian2-deng1,nr
擺進來,3,bai3-jin4-lai2,v
撥轉到,3,bo1-zhuan3-dao4,v
補胎,2,bu3-tai1,n
撥回去,3,bo1-hui2-qu4,i
波導開關,3,bo1-dao3-kai1-guan1,n
班師回,3,ban1-shi1-hui2,nr
百口同聲,3,bai3-kou3-tong2-sheng1,i
百著,3,bai3-zhe,m
辦夥,3,ban4-huo3,n
半真半假,29,ban4-zhen1-ban4-jia3,i
邦阿西楠,3,bang1-a1-xi1-nan2,nr
百年諧老,3,bai3-nian2-xie2-lao3,l
揹包,294,bei1-bao1,n
標期,3,biao1-qi1,n
博南帕,4,bo2-nan2-pa4,nr
八百個,2,ba1-bai3-ge4,m
賓客迎門,3,bin1-ke4-ying2-men2,nr
閉塞,218,bi4-sai1,v
別鬧,2,bie2-nao4,a
百般,229,bai3-ban1,d
扮鬼,3,ban4-gui3,v
白首如新,3,bai2-shou3-ru2-xin1,i
波蘭語,26,bo1-lan2-yu3,nz
箔條,23,bo2-tiao2,n
報告起草,3,bao4-gao4-qi3-cao3,n
標誌著,3,biao1-zhi4-zhe,n
逼過去,3,bi1-guo4-qu4,v
碑林區,4,bei1-lin2-qu1,n
巴帕爾,2,ba1-pa4-er3,nr
揹債,3,bei1-zhai4,n
布幹維爾島,5,bu4-gan4-wei2-er3-dao3,ns
踣,5,bo2,g
八間,4,ba1-jian1,t
搏手,3,bo2-shou3,v
不定,733,bu4-ding4,d
病樹,3,bing4-shu4,n
百花洲文藝出版社,3,bai3-hua1-zhou1-wen2-yi4-chu1-ban3-she4,nt
布魯頓,2,bu4-lu3-dun4,nr
步韻,3,bu4-yun4,n
畢桂芳,2,bi4-gui4-fang1,nr
八運會,32,ba1-yun4-hui4,j
半截道,3,ban4-jie2-dao4,m
波導波長,3,bo1-dao3-bo1-zhang3,n
八十頃,2,ba1-shi2-qing3,m
半場,148,ban4-chang3,n
布萊曼,3,bu4-lai2-man4,nr
布洛阿,2,bu4-luo4-a1,nr
變速精靈,3,bian4-su4-jing1-ling2,n
波羅,390,bo1-luo2,ns
保持聯繫,3,bao3-chi2-lian2-xi4,n
北京市人事局,11,bei3-jing1-shi4-ren2-shi4-ju2,nt
布倫丹,2,bu4-lun2-dan1,nr
報案,88,bao4-an4,n
冰天雪地,91,bing1-tian1-xue3-di4,i
布倫坦諾,6,bu4-lun2-tan3-nuo4,nrt
不完全性,13,bu4-wan2-quan2-xing4,l
伯祖,49,bo2-zu3,nr
北羅,9,bei3-luo2,ns
敗事,3,bai4-shi4,n
標準版,4,biao1-zhun3-ban3,n
蹦達,5,beng4-da2,v
不敢後人,3,bu4-gan3-hou4-ren2,l
白渣,2,bai2-zha1,n
百鍊成鋼,13,bai3-lian4-cheng2-gang1,nz
比配,3,bi3-pei4,vn
八角蓮,2,ba1-jiao3-lian2,n
博野,3,bo2-ye3,n
北莊,3,bei3-zhuang1,ns
包頭鋼鐵公司,23,bao1-tou2-gang1-tie3-gong1-si1,nt
裨能,3,bi4-neng2,n
筆體,3,bi3-ti3,n
薄子,3,bao2-zi,n
北碚,4,bei3-bei4,nr
八節,30,ba1-jie2,t
比照辦理,3,bi3-zhao4-ban4-li3,n
白刺屬,2,bai2-ci4-shu3,n
白匪,7,bai2-fei3,n
秉著,3,bing3-zhe,v
拔髓針,3,ba2-sui3-zhen1,n
包交換,2,bao1-jiao1-huan4,v
不同,29383,bu4-tong2,a
本處,3,ben3-chu4,r
棅,6,bing3,zg
包塞,2,bao1-sai1,v
秉燭待旦,3,bing3-zhu2-dai4-dan4,i
布魯提,3,bu4-lu3-ti2,nr
北方交通大學,11,bei3-fang1-jiao1-tong1-da4-xue2,nt
編法,3,bian1-fa3,n
