chinese,frequency,pinyin,posseg
宣傳週,13,xuan1-chuan2-zhou1,nr
修文,15,xiu1-wen2,nr
下大本錢,3,xia4-da4-ben3-qian2,n
玄靈寶,4,xuan2-ling2-bao3,nr
肖正權,3,xiao4-zheng4-quan2,nr
雪中蓮,3,xue3-zhong1-lian2,nr
先行點,2,xian1-xing2-dian3,n
尋甸回族彝族自治縣,3,xun2-dian1-hui2-zu2-yi2-zu2-zi4-zhi4-xian4,ns
賢相,3,xian2-xiang1,n
喜樂,71,xi3-le4,ns
夏普公司,20,xia4-pu3-gong1-si1,nt
漩起,3,xuan2-qi3,n
矽土,3,xi4-tu3,n
希夏邦,2,xi1-xia4-bang1,nr
吸收劑量,3,xi1-shou1-ji4-liang4,n
心狠,22,xin1-hen3,a
俠白,3,xia2-bai2,a
響炮,3,xiang3-pao4,n
心如止水,19,xin1-ru2-zhi3-shui3,i
顯著特點,3,xian3-zhe-te4-dian3,n
心目,998,xin1-mu4,n
心在魏闕,3,xin1-zai4-wei4-que4,nr
許雲峰,2,xu3-yun2-feng1,nr
消防,259,xiao1-fang2,n
鮮葉,7,xian1-ye4,n
心所,3,xin1-suo3,n
攜伴參加,3,xie2-ban4-can1-jia1,n
幸喜,85,xing4-xi3,a
稀里光當,3,xi1-li3-guang1-dang1,z
辛辛那提,21,xin1-xin1-na4-ti2,ns
斜挎包,3,xie2-kua4-bao1,vn
嚇出,3,xia4-chu1,v
鮮廉寡恥,3,xian1-lian2-gua3-chi3,i
想法子,3,xiang3-fa3-zi,l
信皮兒,3,xin4-pi2-er2,nr
小鋼炮,214,xiao3-gang1-pao4,nr
玄德怒,2,xuan2-de2-nu4,nr
虛聲恫喝,3,xu1-sheng1-dong4-he1,vn
星毛蟲,3,xing1-mao2-chong2,n
循名課實,3,xun2-ming2-ke4-shi2,n
性健康,9,xing4-jian4-kang1,n
屓,11,xie4,zg
新立屯,8,xin1-li4-tun2,nr
曛,36,xun1,g
心愛人,3,xin1-ai4-ren2,nr
玄稽沉,2,xuan2-ji1-chen2,nr
細伢子,3,xi4-ya2-zi,v
夏綠蒂,3,xia4-lv4-di4,nr
心眼,207,xin1-yan3,n
虛盈,3,xu1-ying2,a
匣式,3,xia2-shi4,n
銷貨員,3,xiao1-huo4-yuan2,n
絃樂器組,3,xian2-le4-qi4-zu3,n
顯微結構,3,xian3-wei1-jie2-gou4,n
血仇,37,xue4-chou2,n
血糖儀,3,xue4-tang2-yi2,n
戲票,24,xi4-piao4,n
縣市長,4,xian4-shi4-zhang3,n
性愛寶典,3,xing4-ai4-bao3-dian3,n
小球,101,xiao3-qiu2,n
敘永縣,4,xu4-yong3-xian4,ns
心有餘而力不足,31,xin1-you3-yu2-er2-li4-bu4-zu2,i
洗劑,10,xi3-ji4,nz
灦,34,xian3,zg
玄功通,2,xuan2-gong1-tong1,nr
辛興宗,48,xin1-xing4-zong1,nr
小齒輪,3,xiao3-chi3-lun2,n
細密,185,xi4-mi4,a
雪上飛,3,xue3-shang4-fei1,nr
先減,3,xian1-jian3,v
夏威夷大學,6,xia4-wei1-yi2-da4-xue2,nt
宣傳處,7,xuan1-chuan2-chu4,nr
向日性,3,xiang4-ri4-xing4,nr
相對說來,3,xiang1-dui4-shuo1-lai2,l
阠,4,xin4,zg
徐長卿,3,xu2-zhang3-qing1,nr
鄉土味,3,xiang1-tu3-wei4,n
香胰子,2,xiang1-yi2-zi,n
校園愛情,3,xiao4-yuan2-ai4-qing2,n
薰籠,3,xun1-long2,vn
蕭姑娘可,2,xiao1-gu1-niang2-ke3,nr
血口噴人,29,xue4-kou3-pen1-ren2,n
新年禮物,3,xin1-nian2-li3-wu4,l
縣屬,28,xian4-shu3,n
細弱,75,xi4-ruo4,a
小長山,2,xiao3-zhang3-shan1,nr
新聞頻道,3,xin1-wen2-pin2-dao4,n
消腫藥,3,xiao1-zhong3-yao4,l
西六宮,4,xi1-liu4-gong1,nr
陷沒,12,xian4-mei2,v
鞋弓襪淺,3,xie2-gong1-wa4-qian3,n
希逢,2,xi1-feng2,v
洗版,3,xi3-ban3,v
雪夜,31,xue3-ye4,t
胸徑,45,xiong1-jing4,n
小圈子,34,xiao3-quan1-zi,nr
小人得志,14,xiao3-ren2-de2-zhi4,n
休聲美譽,3,xiu1-sheng1-mei3-yu4,i
笑蒙,3,xiao4-meng2,z
香港中華總商會,2,xiang1-gang3-zhong1-hua2-zong3-shang1-hui4,nt
喜得,3,xi3-de,v
行期,19,xing2-qi1,n
尋索,4,xun2-suo3,v
吸上來,3,xi1-shang4-lai2,v
西班牙語,202,xi1-ban1-ya2-yu3,nz
形狀知覺,3,xing2-zhuang4-zhi1-jue2,l
虛晃,3,xu1-huang3,v
硝鹽,3,xiao1-yan2,n
西科迪勒,25,xi1-ke1-di2-lei1,nrt
凶犯,23,xiong1-fan4,n
昔,461,xi1,tg
吸墨紙,3,xi1-mo4-zhi3,n
相均衡,16,xiang1-jun1-heng2,nr
癇證,3,xian2-zheng4,nz
靴鞋,11,xue1-xie2,n
徐侍郎,2,xu2-shi4-lang2,nr
仙人球,2,xian1-ren2-qiu2,n
習練,65,xi2-lian4,n
學有所成,12,xue2-you3-suo3-cheng2,i
顯化,3,xian3-hua4,v
想錯,3,xiang3-cuo4,v
小楷,28,xiao3-kai3,nr
旋流器,3,xuan2-liu2-qi4,n
現金額,10,xian4-jin1-e2,n
蕭婷婷,8,xiao1-ting2-ting2,nr
相吸,3,xiang1-xi1,v
選揀,3,xuan3-jian3,v
新型產業,3,xin1-xing2-chan3-ye4,n
纖纖,3,xian1-xian1,n
心丹,11,xin1-dan1,n
西羅,6,xi1-luo2,ns
謝遜若,4,xie4-xun4-ruo4,nr
西服套裝,3,xi1-fu2-tao4-zhuang1,n
旋乾轉坤,3,xuan2-qian2-zhuan3-kun1,i
胥吏匯,2,xu1-li4-hui4,nr
蕭穎士,2,xiao1-ying3-shi4,nr
下吏,2,xia4-li4,n
孝宗,38,xiao4-zong1,nrt
心不死,3,xin1-bu4-si3,i
虛度光陰,3,xu1-du4-guang1-yin1,n
西貢,60,xi1-gong4,ns
循理,3,xun2-li3,vn
血腥,835,xue4-xing1,a
西學,210,xi1-xue2,n
杏,432,xing4,n
下市,3,xia4-shi4,v
喜從天降,24,xi3-cong2-tian1-jiang4,i
嚇怕,3,xia4-pa4,v
新聞通訊,3,xin1-wen2-tong1-xun4,nt
學友,24,xue2-you3,n
杏臉桃腮,3,xing4-lian3-tao2-sai1,n
系統脫敏,3,xi4-tong3-tuo1-min3,nz
西華,357,xi1-hua2,nz
西征花,3,xi1-zheng1-hua1,nr
嬉笑,87,xi1-xiao4,v
巡迴展,9,xun2-hui2-zhan3,l
懸濁液,19,xuan2-zhuo2-ye4,n
陷入絕境,3,xian4-ru4-jue2-jing4,l
夕煙,2,xi1-yan1,n
徐坤明,3,xu2-kun1-ming2,ns
西陵氏,2,xi1-ling2-shi4,nr
向小昭,3,xiang4-xiao3-zhao1,nr
新鮮度,6,xin1-xian1-du4,ns
向小校,4,xiang4-xiao3-xiao4,nr
小麥粉,29,xiao3-mai4-fen3,nr
莧菜,45,xian4-cai4,n
修訂案,14,xiu1-ding4-an4,n
心亂如麻,82,xin1-luan4-ru2-ma2,i
細條紋,3,xi4-tiao2-wen2,n
夏公子,2,xia4-gong1-zi,nr
鮮眉亮眼,3,xian1-mei2-liang4-yan3,i
協保,5,xie2-bao3,v
小婦人,15,xiao3-fu4-ren2,n
徐俊鳴,47,xu2-jun4-ming2,nr
喧鬧不休,3,xuan1-nao4-bu4-xiu1,v
徐京躍,5,xu2-jing1-yue4,nr
斜體字,4,xie2-ti3-zi4,n
小塊,3,xiao3-kuai4,n
詳寫,3,xiang2-xie3,v
銷售費用,3,xiao1-shou4-fei4-yong4,n
險些,791,xian3-xie1,d
下半晌,3,xia4-ban4-shang3,t
先譴隊,3,xian1-qian3-dui4,vn
信徙,3,xin4-xi3,n
幸董賢,2,xing4-dong3-xian2,nr
徐士高,2,xu2-shi4-gao1,nr
新家園,3,xin1-jia1-yuan2,ns
熊廷弼,627,xiong2-ting2-bi4,nr
心力衰竭,102,xin1-li4-shuai1-jie2,i
曉月殘星,3,xiao3-yue4-can2-xing1,nr
餡兒,26,xian4-er2,n
信用證,61,xin4-yong4-zheng4,n
邪心,7,xie2-xin1,n
小兔,3,xiao3-tu4,n
洗熨,3,xi3-yun4,n
鹹宣治,2,xian2-xuan1-zhi4,nr
懸釐,3,xuan2-li2,n
胸有丘壑,3,xiong1-you3-qiu1-he4,i
訓練保障,3,xun4-lian4-bao3-zhang4,n
稀鬆,87,xi1-song1,a
潯江,22,xun2-jiang1,ns
細微,278,xi4-wei1,a
下得,3,xia4-de,v
新視通,3,xin1-shi4-tong1,nt
膝窩,3,xi1-wo1,n
縣政,7,xian4-zheng4,n
諧振器,3,xie2-zhen4-qi4,n
想得到,189,xiang3-de2-dao4,v
修道士,14,xiu1-dao4-shi4,nr
弦外之響,3,xian2-wai4-zhi1-xiang3,i
喧雜,3,xuan1-za2,v
小陽春,9,xiao3-yang2-chun1,nr
洗冤,14,xi3-yuan1,v
相貌堂堂,3,xiang4-mao4-tang2-tang2,i
消費結構,3,xiao1-fei4-jie2-gou4,n
小五郎,3,xiao3-wu3-lang2,nr
響頭,3,xiang3-tou2,v
相迎,3,xiang1-ying2,v
席勒,63,xi2-lei1,nr
心理聲學,3,xin1-li3-sheng1-xue2,l
血流如注,17,xue4-liu2-ru2-zhu4,l
信號工,3,xin4-hao4-gong1,n
心無二用,7,xin1-wu2-er4-yong4,l
小王子,88,xiao3-wang2-zi3,nr
西爾瓦,3,xi1-er3-wa3,ns
下管,3,xia4-guan3,v
心手相忘,3,xin1-shou3-xiang1-wang4,i
線路圖,8,xian4-lu4-tu2,n
西灣,2,xi1-wan1,ns
興奮性,55,xing4-fen4-xing4,n
夏國主,4,xia4-guo2-zhu3,nr
閒愁,3,xian2-chou2,v
