chinese,frequency,pinyin,posseg
靈位,107,ling2-wei4,n
李陽冰,10,li3-yang2-bing1,nr
連慈禧,3,lian2-ci2-xi3,nr
苓耳,3,ling2-er3,n
利翁河,2,li4-weng1-he2,nr
蓮都區,3,lian2-dou1-qu1,ns
盧卡申科,32,lu2-ka3-shen1-ke1,nr
理論家,217,li3-lun4-jia1,n
李本艦,6,li3-ben3-jian4,nr
羅尼柯,2,luo2-ni2-ke1,nr
狼狽不堪,96,lang2-bei4-bu4-kan1,i
老世交,3,lao3-shi4-jiao1,nr
老虎皮,22,lao3-hu3-pi2,nr
拉家帶口,3,la1-jia1-dai4-kou3,n
兩年生,3,liang3-nian2-sheng1,b
鋁塑,6,lv3-su4,n
李卜克內,3,li3-bo-ke4-nei4,nr
輪圈,3,lun2-quan1,n
李洪洋,20,li3-hong2-yang2,nr
盧大夫,101,lu2-da4-fu1,nr
路祭,3,lu4-ji4,nr
利普王子,2,li4-pu3-wang2-zi3,nr
零壹,3,ling2-yi1,m
濾管,3,lv4-guan3,n
倫賈科夫,3,lun2-jia3-ke1-fu1,nr
李宗一,3,li3-zong1-yi1,nrfg
磷酸肽,3,lin2-suan1-tai4,nz
劉念友,3,liu2-nian4-you3,nr
爐襯,6,lu2-chen4,nz
利厄,3,li4-e4,nrt
李大嘴,3,li3-da4-zui3,nr
羅馬尼亞語,25,luo2-ma3-ni2-ya4-yu3,nz
令狐沖進,2,ling2-hu2-chong1-jin4,i
立狀,3,li4-zhuang4,n
礲,4,long2,zg
零件,433,ling2-jian4,mq
流態化,6,liu2-tai4-hua4,n
拉馬拉,3,la1-ma3-la1,nrt
路權,5,lu4-quan2,n
兩萬左右,3,liang3-wan4-zuo3-you4,m
李水清,2,li3-shui3-qing1,nr
露面拋頭,3,lou4-mian4-pao1-tou2,vn
卵管,3,luan3-guan3,n
令狐沖知,14,ling2-hu2-chong1-zhi1,i
羅科夫,5,luo2-ke1-fu1,nr
廉價住所,3,lian2-jia4-zhu4-suo3,n
李建明,261,li3-jian4-ming2,nrfg
利息費用,3,li4-xi1-fei4-yong4,n
劉家良,2,liu2-jia1-liang2,nr
林維鈞,5,lin2-wei2-jun1,nr
氯胺酮,3,lv4-an4-tong2,nz
領航權,3,ling3-hang2-quan2,n
龍顏,20,long2-yan2,nr
遼海,3,liao2-hai3,ns
柳橙,5,liu3-cheng2,nr
